confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-222-178-1,{},,penhasco,42532,35009,39552
,StandardOrth,,,1-222-178-3,{},,precipício,42533,35009,38710
